vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15
2.63,15.14,248.22,354.47,57.56,38.08,0.77,0.86,0.59,0.26,0.06,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.21
2.75,7.99,343.02,231.53,43.54,25.72,0.78,0.85,0.49,0.13,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.17,0.46
2.78,11.34,423.49,227.83,43.31,27.96,0.70,0.85,0.62,0.22,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.47
2.46,13.06,440.37,281.79,52.32,32.26,0.64,0.85,0.61,0.15,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.02,0.30
2.32,13.78,352.37,357.67,58.52,37.76,0.63,0.85,0.62,0.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.19
2.37,14.08,440.65,281.67,51.51,32.25,0.69,0.82,0.47,0.24,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.21
2.21,14.72,260.14,284.14,48.32,30.31,0.59,0.81,0.50,0.18,0.05,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.18
2.29,12.24,248.32,354.16,57.42,37.26,0.67,0.81,0.46,0.17,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.04,0.24
1.99,15.83,247.99,354.25,57.42,37.13,0.50,0.78,0.52,0.15,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.11
1.58,13.12,461.99,356.23,58.67,38.05,0.38,0.77,0.30,0.05,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11
1.99,13.83,440.07,281.38,50.55,32.50,0.48,0.75,0.45,0.16,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.21
1.74,13.62,349.09,284.90,50.20,30.87,0.41,0.75,0.40,0.06,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.14
2.12,12.43,423.94,227.72,43.96,27.89,0.50,0.75,0.51,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.02,0.29
2.32,13.02,260.25,284.13,49.22,30.87,0.49,0.74,0.65,0.17,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.34
2.03,12.01,259.98,283.95,48.52,29.86,0.59,0.71,0.50,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.20
1.90,16.61,440.48,281.38,50.95,31.99,0.41,0.71,0.45,0.22,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.16
1.52,16.36,352.23,357.52,58.64,38.07,0.29,0.69,0.33,0.15,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.11
2.02,14.64,349.36,284.79,50.60,31.93,0.42,0.68,0.60,0.15,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.23
1.38,15.96,259.94,283.93,48.40,29.82,0.25,0.63,0.34,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.10
1.06,12.72,269.28,230.37,43.13,27.07,0.21,0.63,0.14,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06
1.58,6.15,423.55,227.72,42.82,27.35,0.62,0.39,0.23,0.07,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.04,0.32
1.52,13.84,247.73,354.14,57.75,37.23,0.42,0.62,0.30,0.13,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11
1.84,12.37,259.97,284.20,48.86,29.77,0.56,0.62,0.38,0.12,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.20
1.59,11.69,440.25,281.52,52.07,32.04,0.37,0.61,0.40,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.23
1.66,7.26,463.11,356.44,60.53,38.52,0.49,0.60,0.24,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.03,0.33
1.42,12.46,349.32,284.71,50.06,31.20,0.35,0.59,0.29,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.15
1.48,10.17,463.24,356.38,60.03,38.68,0.42,0.59,0.18,0.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.21
1.20,16.01,464.12,356.93,59.42,39.02,0.19,0.59,0.32,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.08
1.21,14.05,440.11,281.40,50.62,32.24,0.22,0.57,0.29,0.05,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.11
1.39,13.28,343.33,231.93,43.47,26.51,0.26,0.57,0.33,0.10,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.02,0.18
1.27,11.40,461.92,356.16,58.42,39.17,0.26,0.57,0.24,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.19
1.25,14.59,351.62,357.34,57.82,37.09,0.26,0.56,0.32,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.09
1.36,14.20,343.06,232.23,43.97,26.15,0.38,0.55,0.23,0.14,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.10
1.08,15.72,351.05,357.54,57.02,36.45,0.21,0.55,0.24,0.04,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06
0.87,15.90,248.57,354.49,59.27,37.53,0.13,0.53,0.17,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03
1.04,15.17,248.71,354.04,58.84,37.07,0.19,0.53,0.15,0.09,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.09
1.58,8.12,349.02,284.48,50.15,30.63,0.52,0.52,0.27,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.25
1.01,13.38,343.41,231.72,42.97,25.58,0.16,0.47,0.24,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.13
0.88,17.42,268.78,230.60,44.30,27.17,0.05,0.46,0.28,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.08
0.90,13.87,343.26,231.60,44.33,26.40,0.24,0.44,0.18,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04
1.01,11.31,349.01,284.58,50.08,30.18,0.31,0.42,0.15,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10
0.86,16.24,423.76,227.71,43.67,27.25,0.16,0.41,0.22,0.03,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05
1.22,8.15,352.10,357.59,57.88,38.01,0.37,0.40,0.15,0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.24
0.97,13.75,269.19,231.34,43.21,27.25,0.24,0.36,0.19,0.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.10
0.85,14.01,351.71,357.42,58.40,36.72,0.19,0.35,0.16,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.09
0.63,13.59,422.92,228.01,42.09,27.16,0.20,0.33,0.08,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02
0.69,12.57,351.88,357.27,57.75,36.65,0.18,0.31,0.09,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
0.79,12.87,248.42,354.34,58.90,38.36,0.16,0.29,0.22,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11
0.54,18.10,463.87,356.80,59.71,39.49,0.07,0.28,0.10,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
0.46,18.33,268.94,231.03,44.38,27.47,0.05,0.22,0.12,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.04
0.47,17.28,351.43,357.73,58.88,37.45,0.09,0.19,0.09,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04
