epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,142.923,0.73696,2.99632,0.95665,0.48181,0.83469,0.61905,0.51865,0.72627,2.75379,0.97585,0.000222697,0.000222697,0.000222697
59,145.065,0.77374,3.09722,0.95231,0.4452,0.86466,0.62923,0.52972,0.71477,2.76901,0.98467,0.00022034,0.00022034,0.00022034
60,147.215,0.72745,3.0272,0.93648,0.46093,0.83915,0.63478,0.52578,0.73149,2.66666,0.99053,0.000217984,0.000217984,0.000217984
61,149.511,0.72902,2.93275,0.94632,0.4496,0.83149,0.648,0.53249,0.75717,2.65024,0.99718,0.000215628,0.000215628,0.000215628
62,152.193,0.70292,2.89203,0.9377,0.47953,0.79016,0.63316,0.53182,0.71164,2.6681,0.98027,0.000213272,0.000213272,0.000213272
63,155.128,0.72211,2.96643,0.9362,0.47615,0.76182,0.61291,0.51583,0.71114,2.75242,0.96856,0.000210916,0.000210916,0.000210916
64,157.306,0.72175,2.90746,0.94117,0.44371,0.76523,0.61293,0.50008,0.784,2.76937,0.98664,0.000208559,0.000208559,0.000208559
65,159.474,0.71204,2.87211,0.92071,0.42719,0.79625,0.62906,0.51094,0.79107,2.72233,0.98688,0.000206203,0.000206203,0.000206203
66,161.589,0.72589,2.81667,0.92747,0.40611,0.87412,0.63691,0.53499,0.71359,2.69008,0.96707,0.000203847,0.000203847,0.000203847
67,163.726,0.7254,2.82788,0.93568,0.42331,0.82473,0.63103,0.52465,0.72719,2.67064,0.9718,0.000201491,0.000201491,0.000201491
68,166.648,0.71745,2.86711,0.92931,0.42803,0.79852,0.64726,0.54475,0.70337,2.63697,0.9653,0.000199135,0.000199135,0.000199135
69,169.294,0.7362,2.85352,0.94603,0.42295,0.78921,0.64026,0.54214,0.68514,2.65909,0.96179,0.000196778,0.000196778,0.000196778
70,171.294,0.70902,2.86212,0.93391,0.42658,0.84849,0.62283,0.52417,0.6888,2.68917,0.9584,0.000194422,0.000194422,0.000194422
71,173.529,0.70498,2.7608,0.9339,0.50246,0.80901,0.6659,0.55595,0.70132,2.62637,0.96373,0.000192066,0.000192066,0.000192066
72,175.674,0.70371,2.76698,0.92602,0.52881,0.78512,0.69765,0.58105,0.72135,2.61457,0.98798,0.00018971,0.00018971,0.00018971
73,177.803,0.68609,2.80691,0.92483,0.52156,0.82191,0.69175,0.57065,0.75594,2.62565,1.00556,0.000187354,0.000187354,0.000187354
74,181.003,0.72705,2.78538,0.95069,0.45673,0.87143,0.68332,0.58046,0.68915,2.5852,0.97228,0.000184997,0.000184997,0.000184997
75,183.485,0.70654,2.86619,0.92857,0.47709,0.83606,0.67651,0.5588,0.74187,2.59864,0.98232,0.000182641,0.000182641,0.000182641
76,185.711,0.72478,2.79321,0.93803,0.49526,0.82205,0.69042,0.5801,0.70441,2.57606,0.97187,0.000180285,0.000180285,0.000180285
77,187.825,0.71888,2.7617,0.95075,0.51382,0.84747,0.69928,0.58821,0.7011,2.57784,0.96969,0.000177929,0.000177929,0.000177929
78,189.908,0.69265,2.79966,0.92902,0.52921,0.84073,0.72626,0.61028,0.69681,2.5568,0.96439,0.000175573,0.000175573,0.000175573
79,192.349,0.69346,2.75366,0.93326,0.48288,0.82201,0.69049,0.57796,0.72292,2.55043,0.9697,0.000173216,0.000173216,0.000173216
80,195.612,0.672,2.71122,0.90925,0.4537,0.86992,0.67504,0.56092,0.72254,2.56902,0.96476,0.00017086,0.00017086,0.00017086
