vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15,x1,y1,x2,y2,group_id,group_x_center,group_y_center,group_width,group_height
0.3004,-54.6901,406.3452,488.7636,105.0930,102.8759,0.0045,0.0029,0.0004,0.0019,0.0016,0.0001,0.0011,0.0000,0.0001,0.0006,0.0022,0.0001,0.0002,0.0018,0.0004,0.0003,0.0047,0.0032,0.0028,0.0574,0.1028,0.1213,0.0196,0.0032,353.7987,437.3257,458.8917,540.2016,2,407.0300,489.6100,105.1600,105.3100
0.1794,-50.8293,407.3499,489.0932,106.8930,105.5406,0.0065,0.0024,0.0003,0.0008,0.0008,0.0001,0.0006,0.0000,0.0002,0.0006,0.0040,0.0004,0.0002,0.0010,0.0002,0.0004,0.0013,0.0014,0.0023,0.0353,0.0421,0.0790,0.0235,0.0041,353.9034,436.3229,460.7964,541.8635,2,407.0300,489.6100,105.1600,105.3100
0.1503,-55.2721,409.0769,490.8259,101.3188,105.9890,0.0026,0.0015,0.0004,0.0016,0.0011,0.0001,0.0015,0.0001,0.0001,0.0008,0.0016,0.0001,0.0003,0.0012,0.0006,0.0009,0.0039,0.0023,0.0027,0.0265,0.0517,0.0627,0.0093,0.0018,358.4175,437.8314,459.7363,543.8204,2,407.0300,489.6100,105.1600,105.3100
0.1337,-47.6087,406.0878,489.0327,103.9469,104.8088,0.0057,0.0025,0.0005,0.0013,0.0007,0.0001,0.0004,0.0000,0.0002,0.0008,0.0027,0.0004,0.0001,0.0007,0.0003,0.0004,0.0024,0.0015,0.0018,0.0170,0.0331,0.0547,0.0260,0.0047,354.1143,436.6283,458.0612,541.4371,2,407.0300,489.6100,105.1600,105.3100
0.1108,-53.6755,407.7513,489.9396,106.0052,106.9333,0.0033,0.0011,0.0002,0.0013,0.0008,0.0001,0.0011,0.0000,0.0003,0.0004,0.0024,0.0002,0.0002,0.0008,0.0002,0.0003,0.0009,0.0016,0.0022,0.0304,0.0217,0.0507,0.0095,0.0018,354.7487,436.4730,460.7539,543.4063,2,407.0300,489.6100,105.1600,105.3100
0.0495,-52.9521,407.8129,489.5753,108.7762,106.2599,0.0021,0.0009,0.0002,0.0007,0.0004,0.0001,0.0006,0.0000,0.0004,0.0004,0.0019,0.0002,0.0002,0.0007,0.0002,0.0002,0.0008,0.0009,0.0010,0.0137,0.0127,0.0160,0.0084,0.0016,353.4247,436.4453,462.2010,542.7052,2,407.0300,489.6100,105.1600,105.3100
0.0330,-53.6622,407.3845,488.7399,102.6713,96.4058,0.0007,0.0007,0.0002,0.0007,0.0010,0.0001,0.0005,0.0001,0.0002,0.0006,0.0009,0.0002,0.0001,0.0004,0.0003,0.0002,0.0018,0.0007,0.0003,0.0060,0.0098,0.0157,0.0029,0.0004,356.0488,440.5370,458.7201,536.9427,2,407.0300,489.6100,105.1600,105.3100
0.0281,-53.5213,405.8597,485.1663,105.5717,98.5712,0.0009,0.0008,0.0002,0.0012,0.0009,0.0001,0.0005,0.0001,0.0002,0.0006,0.0010,0.0001,0.0002,0.0007,0.0003,0.0002,0.0021,0.0008,0.0008,0.0047,0.0078,0.0141,0.0016,0.0009,353.0739,435.8807,458.6455,534.4519,2,407.0300,489.6100,105.1600,105.3100
0.0255,-54.4434,406.1741,486.9341,105.0651,101.7758,0.0009,0.0010,0.0002,0.0007,0.0010,0.0001,0.0003,0.0001,0.0001,0.0008,0.0011,0.0001,0.0002,0.0004,0.0003,0.0005,0.0028,0.0007,0.0006,0.0034,0.0077,0.0124,0.0016,0.0012,353.6416,436.0463,458.7067,537.8220,2,407.0300,489.6100,105.1600,105.3100
0.0138,-47.5952,404.6320,488.8469,101.6944,106.0164,0.0014,0.0009,0.0004,0.0007,0.0005,0.0001,0.0002,0.0001,0.0002,0.0005,0.0005,0.0003,0.0001,0.0002,0.0002,0.0004,0.0012,0.0006,0.0006,0.0018,0.0040,0.0051,0.0019,0.0008,353.7848,435.8387,455.4791,541.8551,2,407.0300,489.6100,105.1600,105.3100
0.0104,-50.2139,406.1159,489.7177,103.9547,101.9055,0.0012,0.0004,0.0003,0.0004,0.0002,0.0001,0.0002,0.0001,0.0002,0.0002,0.0008,0.0002,0.0002,0.0003,0.0002,0.0002,0.0008,0.0005,0.0006,0.0022,0.0026,0.0032,0.0015,0.0014,354.1386,438.7649,458.0933,540.6704,2,407.0300,489.6100,105.1600,105.3100
0.0096,-55.1346,409.9426,490.9865,98.3059,102.0694,0.0004,0.0004,0.0002,0.0005,0.0005,0.0001,0.0006,0.0001,0.0001,0.0005,0.0006,0.0001,0.0001,0.0004,0.0003,0.0003,0.0007,0.0005,0.0005,0.0015,0.0039,0.0045,0.0007,0.0003,360.7896,439.9518,459.0955,542.0212,2,407.0300,489.6100,105.1600,105.3100
0.0083,-52.7110,406.9022,484.0609,104.2481,94.3538,0.0005,0.0004,0.0002,0.0006,0.0006,0.0001,0.0004,0.0001,0.0001,0.0004,0.0004,0.0001,0.0002,0.0003,0.0002,0.0001,0.0009,0.0006,0.0003,0.0012,0.0033,0.0032,0.0010,0.0004,354.7781,436.8840,459.0262,531.2378,2,407.0300,489.6100,105.1600,105.3100
0.0040,-51.2338,410.4583,491.8039,100.9037,102.1523,0.0003,0.0003,0.0001,0.0004,0.0003,0.0001,0.0005,0.0001,0.0002,0.0004,0.0006,0.0001,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0011,0.0011,0.0022,0.0007,0.0003,360.0064,440.7277,460.9102,542.8800,2,407.0300,489.6100,105.1600,105.3100
0.0035,-52.1363,405.6389,481.2613,98.9338,91.4383,0.0004,0.0004,0.0002,0.0004,0.0005,0.0001,0.0002,0.0001,0.0002,0.0003,0.0004,0.0001,0.0002,0.0003,0.0002,0.0002,0.0005,0.0005,0.0003,0.0008,0.0013,0.0015,0.0003,0.0004,356.1720,435.5421,455.1058,526.9805,2,407.0300,489.6100,105.1600,105.3100
2.8886,-52.3382,235.5299,214.7230,66.9888,58.7181,0.1100,0.0226,0.0019,0.0040,0.0042,0.0001,0.0012,0.0000,0.0002,0.0017,0.0176,0.0013,0.0003,0.0064,0.0015,0.0037,0.0341,0.0296,0.0492,0.7442,0.7166,0.8277,0.4818,0.1305,202.0355,185.3639,269.0243,244.0820,3,235.2500,214.6500,66.1600,58.6100
2.7315,-53.7331,235.0737,214.7006,66.1385,58.8681,0.0915,0.0243,0.0019,0.0097,0.0024,0.0001,0.0009,0.0000,0.0004,0.0009,0.0175,0.0008,0.0007,0.0081,0.0009,0.0030,0.0142,0.0255,0.0569,0.7613,0.7395,0.7428,0.4168,0.0827,202.0045,185.2666,268.1429,244.1347,3,235.2500,214.6500,66.1600,58.6100
2.5411,-54.2963,235.3375,214.4184,65.9442,58.8574,0.0577,0.0232,0.0024,0.0071,0.0049,0.0001,0.0012,0.0000,0.0002,0.0025,0.0105,0.0005,0.0005,0.0092,0.0006,0.0027,0.0355,0.0276,0.0463,0.6161,0.7523,0.7589,0.3653,0.0549,202.3654,184.9897,268.3097,243.8471,3,235.2500,214.6500,66.1600,58.6100
2.3528,-55.1752,235.1571,214.7918,65.7725,58.5860,0.0435,0.0101,0.0016,0.0027,0.0020,0.0001,0.0019,0.0000,0.0002,0.0005,0.0138,0.0006,0.0005,0.0050,0.0013,0.0022,0.0126,0.0145,0.0617,0.6660,0.6167,0.7154,0.3220,0.0535,202.2708,185.4988,268.0433,244.0849,3,235.2500,214.6500,66.1600,58.6100
2.3299,-56.1610,235.2444,214.6252,65.5672,58.3268,0.0919,0.0157,0.0027,0.0044,0.0071,0.0001,0.0010,0.0000,0.0002,0.0017,0.0081,0.0004,0.0005,0.0083,0.0010,0.0018,0.0435,0.0411,0.0512,0.6653,0.6597,0.6701,0.2509,0.0415,202.4608,185.4618,268.0280,243.7886,3,235.2500,214.6500,66.1600,58.6100
2.3076,-55.5690,234.9183,214.8696,65.7231,58.5780,0.0539,0.0088,0.0026,0.0025,0.0047,0.0001,0.0011,0.0000,0.0001,0.0005,0.0065,0.0007,0.0005,0.0036,0.0011,0.0037,0.0227,0.0263,0.0759,0.5937,0.6524,0.7297,0.2430,0.0646,202.0568,185.5806,267.7798,244.1585,3,235.2500,214.6500,66.1600,58.6100
2.2215,-56.9957,235.0591,214.7232,66.1609,58.4088,0.0749,0.0173,0.0034,0.0112,0.0040,0.0001,0.0009,0.0000,0.0003,0.0011,0.0091,0.0003,0.0008,0.0125,0.0012,0.0039,0.0325,0.0337,0.0782,0.6794,0.6140,0.6139,0.2072,0.0620,201.9786,185.5188,268.1395,243.9276,3,235.2500,214.6500,66.1600,58.6100
1.5938,-54.5073,235.3698,214.9200,67.5779,58.7460,0.0552,0.0119,0.0018,0.0047,0.0014,0.0000,0.0017,0.0000,0.0011,0.0010,0.0081,0.0008,0.0005,0.0057,0.0004,0.0009,0.0135,0.0090,0.0204,0.4710,0.3707,0.5861,0.1432,0.0337,201.5809,185.5470,269.1587,244.2930,3,235.2500,214.6500,66.1600,58.6100
1.5846,-51.5930,235.6404,214.2616,66.3264,58.3607,0.0654,0.0491,0.0032,0.0055,0.0062,0.0001,0.0007,0.0000,0.0006,0.0034,0.0061,0.0008,0.0004,0.0061,0.0008,0.0016,0.0200,0.0168,0.0202,0.3588,0.4728,0.5166,0.1533,0.0679,202.4772,185.0812,268.8036,243.4419,3,235.2500,214.6500,66.1600,58.6100
0.7227,-55.9978,235.3257,214.2506,65.2264,58.4895,0.0235,0.0039,0.0010,0.0014,0.0022,0.0001,0.0010,0.0000,0.0001,0.0009,0.0024,0.0007,0.0006,0.0029,0.0008,0.0018,0.0149,0.0141,0.0168,0.1449,0.2476,0.2536,0.0485,0.0117,202.7124,185.0058,267.9389,243.4954,3,235.2500,214.6500,66.1600,58.6100
0.1545,-57.8888,236.3533,213.9429,63.3286,57.8537,0.0037,0.0027,0.0005,0.0013,0.0011,0.0000,0.0004,0.0000,0.0002,0.0009,0.0011,0.0002,0.0002,0.0011,0.0005,0.0005,0.0066,0.0029,0.0025,0.0493,0.0334,0.0572,0.0124,0.0013,204.6890,185.0160,268.0176,242.8697,3,235.2500,214.6500,66.1600,58.6100
0.0726,-58.4648,235.1469,213.9197,66.0715,57.8271,0.0027,0.0012,0.0004,0.0015,0.0007,0.0001,0.0009,0.0001,0.0002,0.0009,0.0011,0.0001,0.0003,0.0017,0.0007,0.0007,0.0020,0.0018,0.0027,0.0209,0.0220,0.0236,0.0056,0.0009,202.1112,185.0062,268.1827,242.8333,3,235.2500,214.6500,66.1600,58.6100
0.0268,-38.6916,234.9558,214.5681,66.2068,59.1734,0.0068,0.0021,0.0029,0.0055,0.0051,0.0008,0.0005,0.0011,0.0009,0.0018,0.0007,0.0002,0.0011,0.0023,0.0006,0.0014,0.0030,0.0040,0.0076,0.0077,0.0059,0.0015,0.0019,0.0056,201.8524,184.9814,268.0593,244.1548,3,235.2500,214.6500,66.1600,58.6100
0.0184,-46.7821,233.7365,214.8038,70.7572,58.2223,0.0026,0.0010,0.0002,0.0002,0.0004,0.0001,0.0002,0.0001,0.0001,0.0005,0.0006,0.0003,0.0001,0.0003,0.0003,0.0004,0.0010,0.0009,0.0008,0.0031,0.0042,0.0047,0.0043,0.0015,198.3579,185.6927,269.1151,243.9150,3,235.2500,214.6500,66.1600,58.6100
0.0153,-49.8198,234.9659,214.3088,67.0335,58.4468,0.0033,0.0017,0.0014,0.0025,0.0025,0.0009,0.0003,0.0005,0.0007,0.0011,0.0005,0.0002,0.0009,0.0019,0.0011,0.0013,0.0020,0.0026,0.0039,0.0037,0.0045,0.0017,0.0011,0.0035,201.4492,185.0854,268.4827,243.5322,3,235.2500,214.6500,66.1600,58.6100
0.0075,-47.0082,233.5720,214.6123,70.6374,58.8248,0.0013,0.0007,0.0003,0.0003,0.0004,0.0001,0.0002,0.0001,0.0004,0.0002,0.0007,0.0002,0.0002,0.0003,0.0003,0.0002,0.0007,0.0005,0.0007,0.0015,0.0018,0.0021,0.0014,0.0010,198.2534,185.1999,268.8907,244.0247,3,235.2500,214.6500,66.1600,58.6100
0.0064,-62.0415,235.2942,214.1034,66.9063,59.3119,0.0016,0.0008,0.0006,0.0014,0.0012,0.0006,0.0004,0.0007,0.0007,0.0009,0.0005,0.0004,0.0006,0.0011,0.0008,0.0012,0.0011,0.0012,0.0020,0.0028,0.0019,0.0010,0.0009,0.0013,201.8411,184.4475,268.7474,243.7594,3,235.2500,214.6500,66.1600,58.6100
0.0047,-49.9492,236.1846,213.2240,65.4369,60.1280,0.0005,0.0007,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0002,0.0003,0.0001,0.0001,0.0002,0.0001,0.0001,0.0005,0.0004,0.0004,0.0010,0.0016,0.0015,0.0004,0.0005,203.4661,183.1600,268.9030,243.2880,3,235.2500,214.6500,66.1600,58.6100
0.0035,-67.4448,234.4568,214.1358,66.4848,59.3865,0.0011,0.0005,0.0008,0.0014,0.0008,0.0006,0.0004,0.0012,0.0010,0.0012,0.0011,0.0004,0.0006,0.0007,0.0006,0.0009,0.0008,0.0014,0.0022,0.0018,0.0017,0.0009,0.0008,0.0011,201.2144,184.4426,267.6992,243.8290,3,235.2500,214.6500,66.1600,58.6100
