vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15
2.0322,-65.4091,184.4319,474.5254,83.4212,97.7581,0.0438,0.0063,0.0050,0.0035,0.0031,0.0000,0.0021,0.0000,0.0001,0.0005,0.0029,0.0003,0.0011,0.0061,0.0046,0.0095,0.0269,0.0842,0.2407,0.7096,0.5722,0.4019,0.0609,0.0379
2.2481,-48.3613,382.2917,213.5015,72.9396,55.0344,0.0579,0.0139,0.0017,0.0016,0.0018,0.0001,0.0006,0.0000,0.0001,0.0005,0.0135,0.0011,0.0003,0.0038,0.0011,0.0016,0.0098,0.0067,0.0196,0.3982,0.5506,0.7028,0.5497,0.0966
2.0441,-59.9158,214.4895,323.9585,73.2414,69.1792,0.0404,0.0101,0.0032,0.0095,0.0033,0.0000,0.0012,0.0000,0.0003,0.0010,0.0110,0.0003,0.0007,0.0095,0.0012,0.0049,0.0338,0.0360,0.0803,0.6910,0.5680,0.5867,0.1074,0.0454
2.0031,-52.3444,394.6570,326.2608,85.1625,67.7658,0.0454,0.0139,0.0014,0.0031,0.0037,0.0001,0.0009,0.0000,0.0001,0.0015,0.0146,0.0004,0.0004,0.0057,0.0009,0.0010,0.0270,0.0136,0.0152,0.4372,0.5434,0.6899,0.3095,0.0595
2.0204,-70.8302,184.2427,474.6783,84.1059,97.1661,0.0220,0.0098,0.0035,0.0024,0.0031,0.0000,0.0020,0.0000,0.0001,0.0012,0.0094,0.0004,0.0035,0.0080,0.0032,0.0138,0.0775,0.1929,0.2686,0.6808,0.5205,0.3698,0.0230,0.0309
2.2215,-56.9957,235.0591,214.7232,66.1609,58.4088,0.0749,0.0173,0.0034,0.0112,0.0040,0.0001,0.0009,0.0000,0.0003,0.0011,0.0091,0.0003,0.0008,0.0125,0.0012,0.0039,0.0325,0.0337,0.0782,0.6794,0.6140,0.6139,0.2072,0.0620
1.6739,-45.4450,570.7606,317.5326,100.5644,68.9616,0.0691,0.0220,0.0010,0.0030,0.0021,0.0001,0.0004,0.0000,0.0003,0.0017,0.0242,0.0007,0.0003,0.0058,0.0011,0.0014,0.0089,0.0048,0.0087,0.1762,0.4034,0.6753,0.3407,0.1000
2.5285,-49.3539,608.1477,494.5383,63.9825,108.2089,0.1263,0.0278,0.0024,0.0040,0.0030,0.0002,0.0005,0.0000,0.0004,0.0010,0.0164,0.0009,0.0007,0.0080,0.0013,0.0025,0.0076,0.0206,0.0500,0.5572,0.6379,0.6728,0.5161,0.1431
2.3299,-56.1610,235.2444,214.6252,65.5672,58.3268,0.0919,0.0157,0.0027,0.0044,0.0071,0.0001,0.0010,0.0000,0.0002,0.0017,0.0081,0.0004,0.0005,0.0083,0.0010,0.0018,0.0435,0.0411,0.0512,0.6653,0.6597,0.6701,0.2509,0.0415
1.9772,-48.4871,570.6776,317.7743,100.2518,70.5675,0.0540,0.0158,0.0014,0.0022,0.0014,0.0001,0.0005,0.0000,0.0001,0.0007,0.0085,0.0006,0.0003,0.0063,0.0018,0.0028,0.0102,0.0061,0.0165,0.3332,0.4881,0.6636,0.4472,0.0786
1.8544,-49.1657,537.9047,208.7576,76.1267,53.0883,0.0843,0.0341,0.0017,0.0034,0.0051,0.0001,0.0004,0.0000,0.0003,0.0027,0.0151,0.0009,0.0003,0.0073,0.0013,0.0028,0.0197,0.0121,0.0161,0.3284,0.5063,0.6609,0.2664,0.0953
2.2069,-59.2432,214.0255,323.9722,73.2543,69.1109,0.0436,0.0111,0.0026,0.0029,0.0052,0.0001,0.0028,0.0000,0.0001,0.0014,0.0092,0.0006,0.0011,0.0065,0.0013,0.0028,0.0433,0.0546,0.0844,0.6568,0.6497,0.6396,0.1511,0.0467
2.1932,-55.6261,608.1340,493.5704,64.0311,106.2882,0.0637,0.0192,0.0044,0.0064,0.0043,0.0000,0.0017,0.0000,0.0003,0.0017,0.0110,0.0019,0.0007,0.0051,0.0025,0.0042,0.0314,0.0439,0.0564,0.6008,0.5872,0.6521,0.2862,0.0394
1.8851,-52.6389,382.4577,213.3631,72.7179,54.7940,0.0572,0.0095,0.0012,0.0017,0.0035,0.0000,0.0010,0.0000,0.0001,0.0016,0.0056,0.0020,0.0005,0.0034,0.0008,0.0026,0.0238,0.0150,0.0138,0.3931,0.5471,0.6512,0.2750,0.0307
2.3714,-46.7564,382.2137,213.1284,73.0120,54.9660,0.0959,0.0357,0.0011,0.0061,0.0014,0.0002,0.0006,0.0000,0.0004,0.0016,0.0275,0.0012,0.0005,0.0068,0.0006,0.0010,0.0062,0.0076,0.0093,0.4288,0.6361,0.6444,0.5272,0.1933
2.1379,-48.2660,382.3517,213.3660,73.0643,55.1001,0.1012,0.0318,0.0019,0.0093,0.0029,0.0001,0.0005,0.0000,0.0004,0.0012,0.0168,0.0005,0.0005,0.0117,0.0011,0.0017,0.0093,0.0096,0.0151,0.4227,0.5555,0.6324,0.4492,0.0987
2.0103,-68.1346,184.2182,474.5782,83.9078,98.3804,0.0347,0.0161,0.0051,0.0033,0.0044,0.0000,0.0014,0.0000,0.0002,0.0012,0.0049,0.0003,0.0022,0.0069,0.0013,0.0090,0.0788,0.1170,0.3240,0.6286,0.4741,0.4637,0.0350,0.0239
1.8856,-48.9675,394.4882,325.6755,84.4418,68.7173,0.0310,0.0164,0.0009,0.0058,0.0012,0.0001,0.0009,0.0000,0.0004,0.0010,0.0228,0.0006,0.0002,0.0036,0.0005,0.0012,0.0049,0.0037,0.0049,0.3437,0.4999,0.6267,0.3991,0.0904
1.9540,-60.6598,214.1759,324.1785,72.9827,68.9962,0.0264,0.0075,0.0020,0.0033,0.0033,0.0001,0.0015,0.0000,0.0002,0.0008,0.0132,0.0003,0.0008,0.0056,0.0013,0.0042,0.0302,0.0582,0.1090,0.6193,0.5406,0.5413,0.1219,0.0539
2.0472,-58.6120,214.2343,323.9829,72.8677,69.2750,0.0390,0.0054,0.0031,0.0032,0.0030,0.0000,0.0021,0.0000,0.0002,0.0003,0.0044,0.0003,0.0006,0.0037,0.0020,0.0026,0.0169,0.0289,0.1113,0.6109,0.5731,0.6025,0.1635,0.0323
1.9689,-60.9894,214.0692,323.9429,73.0323,69.4106,0.0657,0.0057,0.0031,0.0027,0.0039,0.0000,0.0021,0.0000,0.0001,0.0006,0.0032,0.0006,0.0011,0.0060,0.0015,0.0039,0.0336,0.0609,0.1444,0.6100,0.5660,0.5047,0.1014,0.0401
1.8472,-63.6925,184.2095,475.0631,83.1586,97.5187,0.0500,0.0065,0.0045,0.0023,0.0037,0.0001,0.0014,0.0000,0.0001,0.0007,0.0035,0.0004,0.0014,0.0068,0.0016,0.0065,0.0389,0.0666,0.2057,0.6089,0.5070,0.3894,0.0824,0.0536
1.5736,-55.5313,608.1453,493.1263,64.0032,106.9438,0.0484,0.0106,0.0052,0.0047,0.0058,0.0000,0.0012,0.0000,0.0003,0.0016,0.0034,0.0011,0.0005,0.0025,0.0013,0.0026,0.0282,0.0285,0.0424,0.4161,0.3676,0.6078,0.1216,0.0283
