epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,117.512,0.78827,1.76491,0.88372,0.40241,0.69286,0.60336,0.49026,0.77323,1.68322,0.86968,0.000225053,0.000225053,0.000225053
58,119.325,0.74829,1.64738,0.86927,0.49462,0.6438,0.59917,0.49554,0.72905,1.68019,0.86136,0.000222697,0.000222697,0.000222697
59,121.278,0.77999,1.63472,0.87945,0.53495,0.59442,0.59797,0.49595,0.72589,1.70152,0.85836,0.00022034,0.00022034,0.00022034
60,123.176,0.76117,1.73549,0.87305,0.54316,0.64241,0.61534,0.50383,0.7477,1.69044,0.86381,0.000217984,0.000217984,0.000217984
61,124.844,0.79064,1.63836,0.87119,0.5878,0.60828,0.63705,0.51828,0.76336,1.65191,0.86321,0.000215628,0.000215628,0.000215628
62,126.566,0.74221,1.63153,0.8734,0.48872,0.75908,0.6495,0.53651,0.72173,1.58757,0.8549,0.000213272,0.000213272,0.000213272
63,129.407,0.72057,1.59746,0.87668,0.50708,0.80041,0.62762,0.51687,0.7134,1.55697,0.85408,0.000210916,0.000210916,0.000210916
64,131.414,0.74859,1.58815,0.86645,0.45928,0.8141,0.62618,0.5197,0.68909,1.51978,0.84496,0.000208559,0.000208559,0.000208559
65,133.199,0.75729,1.6768,0.85883,0.46095,0.81056,0.63823,0.53253,0.69175,1.47811,0.84397,0.000206203,0.000206203,0.000206203
66,134.851,0.72728,1.54006,0.86181,0.45573,0.78047,0.64997,0.53787,0.69544,1.43829,0.84479,0.000203847,0.000203847,0.000203847
67,136.587,0.72259,1.53778,0.85576,0.47478,0.7425,0.65692,0.5346,0.73825,1.43764,0.85193,0.000201491,0.000201491,0.000201491
68,138.291,0.72604,1.56878,0.86675,0.48868,0.72641,0.67663,0.56186,0.70107,1.39902,0.84789,0.000199135,0.000199135,0.000199135
69,139.987,0.68258,1.4382,0.853,0.49576,0.73721,0.66041,0.54992,0.69725,1.40383,0.84757,0.000196778,0.000196778,0.000196778
70,142.533,0.76567,1.4382,0.90537,0.48266,0.70064,0.64626,0.53131,0.75086,1.43895,0.85234,0.000194422,0.000194422,0.000194422
71,144.756,0.75002,1.4962,0.87059,0.42369,0.77327,0.61026,0.50233,0.7443,1.48661,0.84945,0.000192066,0.000192066,0.000192066
72,146.503,0.7391,1.55306,0.86566,0.47988,0.75804,0.61714,0.51275,0.71638,1.48054,0.85305,0.00018971,0.00018971,0.00018971
73,148.286,0.77079,1.48942,0.86429,0.52422,0.79078,0.65067,0.53911,0.7235,1.4473,0.85448,0.000187354,0.000187354,0.000187354
74,149.995,0.77142,1.55077,0.87468,0.53379,0.7684,0.65908,0.54992,0.69097,1.45215,0.84901,0.000184997,0.000184997,0.000184997
75,151.698,0.70079,1.3709,0.86726,0.54282,0.73333,0.65925,0.5496,0.68323,1.48669,0.84816,0.000182641,0.000182641,0.000182641
