epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,132.492,0.72948,3.43886,0.93211,0.39227,0.83907,0.61053,0.51101,0.68699,3.04353,0.91644,0.000217984,0.000217984,0.000217984
61,134.157,0.71878,3.31884,0.93588,0.56734,0.70476,0.66602,0.55847,0.68547,2.95739,0.91773,0.000215628,0.000215628,0.000215628
62,135.848,0.74913,3.41412,0.95644,0.42836,0.77779,0.66498,0.55631,0.68668,2.94051,0.91775,0.000213272,0.000213272,0.000213272
63,138.045,0.71951,3.29819,0.9402,0.53377,0.72987,0.68661,0.56008,0.75644,2.94693,0.93934,0.000210916,0.000210916,0.000210916
64,140.519,0.74789,3.47833,0.9345,0.45098,0.78371,0.67792,0.56718,0.69983,2.92447,0.91846,0.000208559,0.000208559,0.000208559
65,142.268,0.74218,3.38342,0.92808,0.47617,0.76444,0.68096,0.57644,0.6699,2.88121,0.90445,0.000206203,0.000206203,0.000206203
66,143.971,0.7176,3.23382,0.93644,0.47788,0.7765,0.64469,0.54434,0.67972,2.90433,0.90547,0.000203847,0.000203847,0.000203847
67,145.593,0.74365,3.36083,0.94311,0.46916,0.79919,0.61569,0.50398,0.73867,2.94589,0.92583,0.000201491,0.000201491,0.000201491
68,147.22,0.72669,3.29732,0.93497,0.44955,0.82355,0.63967,0.51287,0.80023,2.89055,0.93977,0.000199135,0.000199135,0.000199135
69,148.837,0.71567,3.18208,0.94011,0.45025,0.8243,0.6615,0.55079,0.70408,2.81429,0.91409,0.000196778,0.000196778,0.000196778
70,150.42,0.74128,3.14833,0.97135,0.46976,0.83742,0.69393,0.596,0.63166,2.75629,0.90364,0.000194422,0.000194422,0.000194422
71,152.971,0.79835,3.24417,0.98105,0.48291,0.78852,0.71108,0.61567,0.6318,2.74878,0.90634,0.000192066,0.000192066,0.000192066
72,154.857,0.76037,3.27938,0.95071,0.48825,0.82746,0.71242,0.58674,0.72074,2.78306,0.9236,0.00018971,0.00018971,0.00018971
73,156.493,0.72633,3.41389,0.93335,0.47584,0.80866,0.70916,0.57591,0.75366,2.75475,0.92767,0.000187354,0.000187354,0.000187354
74,158.128,0.74069,3.16021,0.94561,0.43286,0.85277,0.68607,0.56514,0.70808,2.74637,0.91114,0.000184997,0.000184997,0.000184997
75,159.735,0.67455,3.09381,0.93519,0.40998,0.85591,0.65664,0.54782,0.66788,2.79415,0.89794,0.000182641,0.000182641,0.000182641
76,161.368,0.70714,3.13844,0.95262,0.44836,0.81592,0.66087,0.55171,0.67455,2.73386,0.90309,0.000180285,0.000180285,0.000180285
77,162.998,0.67966,3.12811,0.93117,0.44582,0.85813,0.69192,0.55896,0.76376,2.70997,0.92717,0.000177929,0.000177929,0.000177929
78,165.315,0.66097,2.92326,0.91417,0.45563,0.83521,0.7113,0.56787,0.7913,2.7001,0.93705,0.000175573,0.000175573,0.000175573
79,167.576,0.65569,3.02342,0.9221,0.50817,0.78127,0.73228,0.5982,0.74278,2.69125,0.92433,0.000173216,0.000173216,0.000173216
80,169.233,0.67875,3.05397,0.90354,0.43902,0.82135,0.6924,0.58831,0.65235,2.74126,0.90381,0.00017086,0.00017086,0.00017086
