group_id,anchor_id,vector_magnitude,predicted_angle,x_center,y_center,width,height,top_class,top_class_score,vector_x,vector_y,contribution_pct
4,20,0.0027,-71.2800,338.2800,191.6500,78.6500,46.1500,Leanbot_m15,0.0036,0.0009,-0.0025,0.0200
5,0,2.2030,-6.9500,200.7200,192.4500,79.1900,48.9600,Leanbot_0,0.8302,2.1869,-0.2666,18.7600
5,1,2.1329,-9.6500,200.7500,192.5200,78.9700,49.4900,Leanbot_0,0.7193,2.1027,-0.3576,18.1600
5,2,1.9362,-9.6500,200.6400,192.3000,79.4000,49.0700,Leanbot_0,0.7564,1.9088,-0.3246,16.4900
5,3,1.8336,-15.2200,200.8000,192.5200,79.1600,49.4100,Leanbot_m15,0.6663,1.7693,-0.4813,15.6200
5,4,1.5787,-6.3000,200.6000,192.4100,79.3500,49.5000,Leanbot_0,0.6852,1.5692,-0.1731,13.4400
5,5,0.9564,-1.3400,200.8700,192.8100,79.0800,49.2300,Leanbot_0,0.4094,0.9561,-0.0224,8.1400
5,6,0.6781,-16.1800,201.0000,192.4500,78.3000,49.2600,Leanbot_m15,0.2253,0.6512,-0.1889,5.7700
5,7,0.2669,-24.5100,201.0300,192.5700,77.9900,49.5100,Leanbot_m15,0.0618,0.2428,-0.1107,2.2700
5,8,0.0653,-2.8700,201.1700,192.3400,79.4100,47.8800,Leanbot_0,0.0319,0.0652,-0.0033,0.5600
5,9,0.0615,-14.0500,200.8700,193.1700,78.9800,49.9400,Leanbot_m15,0.0332,0.0597,-0.0149,0.5200
5,10,0.0333,-7.9900,200.8000,192.8000,80.1700,50.1100,Leanbot_m15,0.0106,0.0330,-0.0046,0.2800
5,11,0.0077,-10.8600,201.0200,192.7700,79.7100,48.9300,Leanbot_0,0.0034,0.0075,-0.0014,0.0700
5,12,0.0072,-22.3200,201.0300,193.4200,77.7300,49.4200,Leanbot_0,0.0030,0.0066,-0.0027,0.0600
5,13,0.0048,-24.0700,200.4600,192.5400,77.6600,46.8500,Leanbot_m15,0.0025,0.0043,-0.0019,0.0400
5,14,0.0045,-22.3700,200.4600,191.9100,78.9100,47.7700,Leanbot_m15,0.0023,0.0041,-0.0017,0.0400
5,15,0.0042,-28.4200,200.4100,192.7600,79.2300,47.0300,Leanbot_m15,0.0024,0.0037,-0.0020,0.0400
