epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,96.7504,0.78461,3.56682,0.96773,0.39528,0.80201,0.59148,0.49998,0.66475,2.82057,0.90408,0.000225053,0.000225053,0.000225053
58,98.3911,0.73792,3.32569,0.95682,0.39004,0.83887,0.59543,0.50557,0.65446,2.78066,0.89849,0.000222697,0.000222697,0.000222697
59,100.186,0.70579,3.43118,0.90403,0.4204,0.83,0.60218,0.51303,0.6574,2.71784,0.89558,0.00022034,0.00022034,0.00022034
60,102.519,0.73996,3.40009,0.92878,0.41644,0.87337,0.64276,0.54227,0.67885,2.65364,0.90676,0.000217984,0.000217984,0.000217984
61,104.196,0.71761,3.31459,0.94246,0.43678,0.80168,0.64805,0.54212,0.71038,2.65668,0.9194,0.000215628,0.000215628,0.000215628
62,105.728,0.73185,3.28525,0.94888,0.45317,0.8011,0.64494,0.53462,0.71745,2.66111,0.92428,0.000213272,0.000213272,0.000213272
63,107.348,0.721,3.22094,0.94054,0.48417,0.80903,0.65079,0.53065,0.76538,2.66473,0.93868,0.000210916,0.000210916,0.000210916
64,108.864,0.75585,3.29299,0.93982,0.49595,0.7973,0.64693,0.54149,0.66736,2.66192,0.91083,0.000208559,0.000208559,0.000208559
65,110.29,0.72661,3.21631,0.92108,0.44764,0.85899,0.63708,0.54211,0.64377,2.67835,0.90761,0.000206203,0.000206203,0.000206203
66,111.653,0.73749,3.22846,0.94304,0.45442,0.82048,0.63857,0.54449,0.64646,2.67133,0.90603,0.000203847,0.000203847,0.000203847
67,113.254,0.72237,3.24024,0.93384,0.43526,0.8605,0.64159,0.54354,0.67683,2.66066,0.90744,0.000201491,0.000201491,0.000201491
68,115.481,0.71975,3.25053,0.93291,0.43712,0.924,0.66766,0.55553,0.72883,2.62982,0.91839,0.000199135,0.000199135,0.000199135
69,117.331,0.71016,3.10247,0.93178,0.44961,0.82611,0.65137,0.55679,0.64089,2.63322,0.90432,0.000196778,0.000196778,0.000196778
70,118.804,0.72335,3.15838,0.94115,0.44011,0.79113,0.62769,0.54035,0.61258,2.73068,0.91199,0.000194422,0.000194422,0.000194422
71,120.258,0.76177,3.18105,0.94544,0.40476,0.81443,0.6145,0.52246,0.64266,2.80513,0.92328,0.000192066,0.000192066,0.000192066
72,121.697,0.75392,3.19293,0.94413,0.40376,0.84708,0.64175,0.54303,0.66204,2.68787,0.91027,0.00018971,0.00018971,0.00018971
73,123.206,0.70136,3.22108,0.91302,0.45706,0.77472,0.65981,0.54337,0.72631,2.63596,0.91931,0.000187354,0.000187354,0.000187354
74,124.68,0.73928,3.09703,0.9351,0.43849,0.86739,0.66742,0.55282,0.71407,2.61633,0.91224,0.000184997,0.000184997,0.000184997
75,126.077,0.68421,3.058,0.92776,0.4452,0.88464,0.67445,0.5782,0.64026,2.6059,0.89479,0.000182641,0.000182641,0.000182641
76,128.313,0.72989,3.08755,0.94294,0.46078,0.88797,0.65801,0.57148,0.60927,2.52982,0.89119,0.000180285,0.000180285,0.000180285
77,130.33,0.70639,3.05756,0.92276,0.47518,0.85503,0.67833,0.57689,0.65975,2.50653,0.9006,0.000177929,0.000177929,0.000177929
78,131.865,0.67628,2.93886,0.91086,0.50786,0.85846,0.69344,0.57483,0.72242,2.47519,0.91341,0.000175573,0.000175573,0.000175573
79,133.367,0.68937,2.9565,0.92967,0.51374,0.8731,0.70435,0.58063,0.7394,2.45469,0.91733,0.000173216,0.000173216,0.000173216
80,134.875,0.70855,3.09226,0.90653,0.49944,0.85989,0.72014,0.62242,0.61105,2.44072,0.88789,0.00017086,0.00017086,0.00017086
81,136.379,0.7084,3.00931,0.91926,0.4765,0.85783,0.71737,0.62585,0.58684,2.46231,0.88511,0.000168504,0.000168504,0.000168504
82,138.138,0.6859,2.97465,0.92744,0.52147,0.75218,0.72859,0.63212,0.60929,2.48674,0.88784,0.000166148,0.000166148,0.000166148
83,139.616,0.66216,2.88303,0.92275,0.51005,0.78096,0.72727,0.62711,0.62906,2.49981,0.88891,0.000163792,0.000163792,0.000163792
84,141.799,0.67974,2.94748,0.92529,0.53145,0.81655,0.74235,0.6311,0.65296,2.53025,0.89077,0.000161435,0.000161435,0.000161435
